"xcoord","ycoord","lon","lat"
1001775,234816,-73.9366913496,40.8111740537
1019893,196808,-73.871442077,40.7067974278
1008585,243507,-73.9120588797,40.8350122405
1044008,156148,-73.7848241089,40.5950649196
999349,241022,-73.9454412517,40.8282122508
987633,182419,-73.9878053406,40.6673740643
1032812,214570,-73.8247174705,40.7554881948
987889,214095,-73.9868654197,40.7543170491
1047417,156813,-73.7725428585,40.596866564
1008027,242878,-73.9140775923,40.8332873377
1012423,179549,-73.8984571633,40.6594523761
1016343,212459,-73.8841716327,40.7497691539
997715,227481,-73.9513727101,40.7910486092
1023080,254638,-73.8596128741,40.8655116653
1002248,234981,-73.9349822064,40.8116259817
1009060,243296,-73.91034312,40.8344317851
988687,200650,-73.9839939916,40.7174134797
1020413,245176,-73.8693062492,40.8395526441
997782,226545,-73.9511326331,40.7884794387
1034399,191404,-73.8191618961,40.6918944169
988757,216332,-73.9837309673,40.7604566431
1039633,202726,-73.800194945,40.7229393449
1000329,226031,-73.941936025,40.7870643797
1005873,180332,-73.9220625457,40.6616199555
988089,190305,-73.9861571107,40.6890191641
997061,188060,-73.9538096243,40.6828487145
1000651,184047,-73.9408755604,40.6718280147
1000550,230489,-73.9411271374,40.7992999779
1000456,226260,-73.9414768543,40.7876926913
1000982,179661,-73.9396932146,40.6597888024
996770,238628,-73.9547646793,40.8216454343
998614,239692,-73.9480999485,40.8245630062
987078,215157,-73.9897921905,40.7572322653
987341,215631,-73.9888426608,40.7585331861
1020161,182533,-73.8705515367,40.6676147851
997995,226939,-73.9503626318,40.7895605341
1012977,211203,-73.8963253759,40.746333328
998989,227672,-73.9467713884,40.7915708196
1035494,201000,-73.8151402954,40.7182268461
998476,232007,-73.948614859,40.8034700543
1001723,228552,-73.9368954998,40.7939811987
1005891,180312,-73.9219977311,40.661565016
996362,169237,-73.9563636932,40.6311846998
990391,224848,-73.9778248942,40.7838298535
995163,216710,-73.9606064545,40.7614885697
1001935,247543,-73.9360798047,40.8461057017
990591,192235,-73.9771334374,40.6943151297
999247,214512,-73.9458690131,40.7554496385
981642,203783,-74.0094092984,40.7260135362
1000805,230947,-73.9402049913,40.8005565885
998926,226510,-73.9470014463,40.7883815473
999898,229313,-73.9434847916,40.7960733572
998550,197336,-73.9484213064,40.7083068964
1022953,211531,-73.860320546,40.7471955704
1001984,202377,-73.9360219304,40.7221370159
1049760,184785,-73.7638344686,40.6736264635
989472,148971,-73.9812021931,40.5755653994
1015678,243882,-73.8864246695,40.8360191132
1043010,192093,-73.7881045933,40.6937325749
1051504,159619,-73.7577981745,40.6045383643
1009873,243953,-73.9074026421,40.8362327379
996842,234635,-73.9545120318,40.8106856673
1000583,226488,-73.9410176773,40.7883182562
998044,227892,-73.9501837208,40.7921761858
1001457,226626,-73.9378611043,40.7886953707
1009916,236866,-73.9072743579,40.8167808281
1002238,247187,-73.9349856049,40.8451279745
993472,169640,-73.9667750408,40.6322943295
996122,181017,-73.9572076165,40.6635185725
998818,241922,-73.9473580131,40.8306833845
989294,215445,-73.9817932102,40.7580217652
1034273,238949,-73.8192625083,40.8223937182
999185,226656,-73.9460658108,40.7887818442
1000966,228729,-73.9396289968,40.7944684801
999800,239973,-73.9438140394,40.8253322629
998166,240873,-73.9497162137,40.8278052315
1018140,216230,-73.877666996,40.7601128754
993569,217891,-73.9663588083,40.7647319341
1020282,214482,-73.8699443806,40.7553065971
1006476,183377,-73.9198790686,40.6699763076
998622,229118,-73.9480936821,40.7955403026
996833,196965,-73.9546150487,40.7072911976
1044328,197275,-73.7833055241,40.7079470599
999374,244408,-73.9453432826,40.8375058017
1024193,213129,-73.8558358921,40.7515761576
1021178,239210,-73.8665743707,40.8231745403
1011721,238680,-73.9007458676,40.8217543154
962402,156773,-74.0786721752,40.5969549453
947737,172603,-74.1315647298,40.640356672
1001960,235143,-73.9360221789,40.8120712086
1000916,245710,-73.9397674056,40.8410766368
1033659,191126,-73.8218323796,40.6911355348
1006295,208554,-73.9204491203,40.7390816689
1000691,240368,-73.9405936711,40.8264148117
1000265,239607,-73.9421347545,40.8243268662
998318,228575,-73.9491927543,40.7940504041
997564,239083,-73.9518950195,40.8228931193
999190,229092,-73.9460423358,40.7954679976
987090,199972,-73.9897552862,40.7155531889
1008613,189815,-73.9121522795,40.6876415282
997852,228305,-73.9508762817,40.7933100568
1011263,182761,-73.9026252332,40.6682722141
1001575,232339,-73.9374202372,40.8043757697
1008192,234155,-73.9135124587,40.8093447333
999668,226392,-73.944322178,40.7880564057
1026683,224662,-73.8467760771,40.7832196049
962903,161500,-74.0768830713,40.6099308139
