date,steps
2012-07-27,10920
2012-07-28,11836
2012-07-29,17281
2012-07-30,7345
2012-07-31,9311
2012-08-01,12062
2012-08-02,10735
2012-08-03,13674
2012-08-04,10981
2012-08-05,11776
2012-08-06,7084
2012-08-07,11838
2012-08-08,7280
2012-08-09,9487
2012-08-10,16724
2012-08-11,10511
2012-08-12,7868
2012-08-13,13580
2012-08-14,7299
2012-08-15,13577
2012-08-16,16286
2012-08-17,16042
2012-08-18,12111
2012-08-19,8146
2012-08-20,7629
2012-08-21,1542
2012-08-22,13297
2012-08-23,7888
2012-08-24,13739
2012-08-25,15049
2012-08-26,55904
2012-08-27,8131
2012-08-28,19845
2012-08-29,12387
2012-08-30,5887
2012-08-31,12386
2012-09-01,8383
2012-09-02,8114
2012-09-03,12759
2012-09-04,12369
2012-09-05,10144
2012-09-06,8665
2012-09-07,10553
2012-09-08,10060
2012-09-09,5262
2012-09-10,15182
2012-09-11,9219
2012-09-12,12972
2012-09-13,6650
2012-09-14,11431
2012-09-15,15852
2012-09-16,9902
2012-09-17,9678
2012-09-18,0
2012-09-19,14790
2012-09-20,13156
2012-09-21,9838
2012-09-22,10634
2012-09-23,8424
2012-09-24,9760
2012-09-25,9792
2012-09-26,10398
2012-09-27,4569
2012-09-28,8698
2012-09-29,9585
2012-09-30,5007
2012-10-01,13228
2012-10-02,12644
2012-10-03,11141
2012-10-04,12556
2012-10-05,15579
2012-10-06,17607
2012-10-07,13825
2012-10-08,0
2012-10-09,6637
2012-10-10,9868
2012-10-11,7658
2012-10-12,8390
2012-10-13,9347
2012-10-14,9332
2012-10-15,0
2012-10-16,0
